id,title,description,availability,condition,price,link,image_link,brand
SP-001,SP-001 | BẠCH TRỤ TỊNH QUANG,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Selenite tự nhiên. Mẫu Selenite dạng trụ với sắc trắng trong, cấu trúc thớ chạy dọc và ánh sáng mềm. Vẻ đẹp nằm ở sự tối giản: không cần nhiều màu nhưng vẫn có chiều sâu khi thay đổi góc nhìn. Theo quan niệm phong thủy truyền thống, sắc trắng thường gắn với sự thanh sạch và tĩnh. Phù hợp bàn làm việc, kệ sách hoặc không gian cần một điểm nhấn nhẹ. Mỗi mẫu tự nhiên có hệ thớ riêng, không lặp lại hoàn toàn. Inbox mã SP-001 để xem thêm hình ảnh và video chi tiết.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-001,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-001.jpg,Da - Tra - Tu Vi
SP-002,SP-002 | BÍCH TUYẾT NGỌC,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Obsidian bông tuyết cộng sinh xanh ngọc. Nền xanh trong kết hợp những cụm trắng tự nhiên tạo cảm giác như các bông tuyết lơ lửng trong đá. Giá trị của mẫu không nằm ở một màu xanh đơn thuần mà ở sự tương phản giữa phần trong, phần đục và vùng cộng sinh. Khi soi sáng, cấu trúc bên trong hiện rõ hơn, tạo chiều sâu rất khác ảnh tĩnh. Theo quan niệm phong thủy, Obsidian thường được người chơi lựa chọn với ý nghĩa ổn định và bảo hộ. Mỗi hệ vân là một hình thái riêng. Inbox mã SP-002 để xem video soi đèn và thông tin chi tiết.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-002,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-002.jpg,Da - Tra - Tu Vi
SP-003,SP-003 | HẮC TINH VŨ,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Kim sa lửa / hiệu ứng ánh sao theo nguồn. Ở ánh sáng thường, mẫu đá mang sắc tối khá trầm. Khi ánh sáng chạm đúng góc, những điểm khoáng bắt sáng trên bề mặt tạo hiệu ứng như một dải tinh tú. Đây là kiểu đá càng xem trực tiếp càng thú vị vì ảnh chụp khó ghi hết hiệu ứng ánh kim. Giá trị nằm ở sự phân bố tự nhiên của từng cụm khoáng và cảm giác chuyển động khi thay đổi góc nhìn. Phù hợp người thích đá thô, specimen và phong cách trưng bày mạnh. Inbox mã SP-003 để xem video thực tế.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-003,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-003.jpg,Da - Tra - Tu Vi
SP-004,SP-004 | SONG LAM SAPPHIRE,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Cặp cuội Obsidian Hero xanh Sapphire theo nguồn. Hai viên cùng một cặp nhưng hình dáng, cấu trúc và vùng lên màu khác nhau. Bề ngoài tương đối trầm, nhưng dưới nguồn sáng phù hợp phần xanh Sapphire hiện lên rõ và sâu hơn. Đây là dạng vật phẩm thú vị ở sự đối lập giữa hai trạng thái ánh sáng. Có thể trưng song đôi trên bàn làm việc hoặc tủ kính. Theo quan niệm phong thủy, vật phẩm song đôi thường gắn với hình tượng cân bằng và tương hỗ. Inbox mã SP-004 để xem video từng viên.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-004,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-004.jpg,Da - Tra - Tu Vi
SP-005,SP-005 | TỬ TINH HUYỀN ẢNH,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Thạch anh tím Phantom. Mẫu thạch anh tím này đáng nhìn không chỉ ở màu tím mà ở những lớp, bao thể và dấu vết phát triển nằm bên trong tinh thể. Khi đổi góc sáng có thể xuất hiện các vùng phản quang khác nhau, khiến mẫu càng xoay càng có thêm chi tiết. Với người chơi khoáng vật, đây là giá trị của một specimen có chiều sâu. Theo quan niệm phong thủy, thạch anh tím thường gắn với sự tĩnh và tập trung. Inbox mã SP-005 để xem video cận cảnh.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-005,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-005.jpg,Da - Tra - Tu Vi
SP-006,SP-006 | HUYẾT NHÃN HỎA NGỌC,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Huyết thạch hỏa ngọc theo nguồn. Một khối đá lớn với vẻ ngoài thô nguyên bản, nhưng khi rọi đèn các vùng đỏ bên trong hiện lên mạnh, tạo cảm giác như sắc lửa nằm trong lòng đá. Giá trị không nằm ở sự hoàn hảo nhân tạo mà ở hốc, vết, vùng màu và cấu trúc bất quy tắc. Với kích thước lớn, mẫu phù hợp làm centerpiece cho phòng khách, văn phòng hoặc phòng sưu tập. Theo quan niệm truyền thống, sắc đỏ thường gợi sinh khí và tính dương. Inbox mã SP-006 để xem video soi sáng toàn khối.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-006,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-006.jpg,Da - Tra - Tu Vi
SP-007,SP-007 | BẠCH LIÊN ƯU ĐÀM,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Cụm tinh thể “Hoa Ưu Đàm” theo nguồn. Hàng trăm tinh thể trắng mọc tỏa thành nhiều cụm như một bông hoa đang nở. Điểm đáng giá của dạng specimen này là hình thái kết tinh tự nhiên: không có người thợ tạo từng cánh, mà chính sự phát triển của tinh thể tạo nên bố cục. Sắc trắng đem lại cảm giác thanh và nhẹ, phù hợp phòng trà, thư phòng hoặc tủ trưng bày. Theo quan niệm phong thủy, sắc trắng thường được chọn cho không gian cần sự thanh nhã. Inbox mã SP-007 để xem video cận tinh thể.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-007,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-007.jpg,Da - Tra - Tu Vi
SP-008,SP-008 | TỬ TINH SƠN,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Cụm thạch anh tím. Các đầu tinh thể tím mọc chen nhau trên bề mặt tạo cảm giác như một dãy núi thu nhỏ. Mẫu không cần quá lớn để có sức hút; điểm chính nằm ở cấu trúc tinh thể và cách mỗi đầu phản sáng khác nhau. Đặt trên đôn gỗ giúp form đá tự nhiên thành một món decor gọn cho bàn làm việc hoặc kệ sách. Theo quan niệm phong thủy, thạch anh tím thường được lựa chọn cho không gian học tập, làm việc và nghỉ ngơi. Inbox mã SP-008 để xem thêm hình và video.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-008,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-008.jpg,Da - Tra - Tu Vi
SP-009,SP-009 | KIM PHƯỢNG ƯU ĐÀM,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Cụm tinh thể vàng dạng Hoa Ưu Đàm theo nguồn. Cụm tinh thể vàng mọc tỏa từ đá mẹ, lớp lớn và lớp nhỏ xen nhau tạo cảm giác như một cánh chim đang bung rộng. Điểm đẹp nằm ở form tự nhiên không lặp lại: chỉ cần một nhánh phát triển khác đi là toàn bộ hình thể đã thay đổi. Sắc vàng trong quan niệm phong thủy thường gắn với sự ấm áp và sung túc. Đây là mẫu hợp bàn lớn, tủ kính hoặc không gian cần một centerpiece có sức hiện diện. Inbox mã SP-009 để xem video toàn khối.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-009,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-009.jpg,Da - Tra - Tu Vi
SP-010,SP-010 | NGUYỆT VŨ XÀ CỪ,"💬 Giá hiển thị chỉ mang tính tham khảo.
Mỗi mẫu đá có đặc tính và giá trị riêng. Vui lòng Inbox Fanpage để nhận giá chính xác của mẫu đang xem và kiểm tra tình trạng còn hàng.

Tên/nhóm theo nguồn: Hắc nguyệt quang ánh xà cừ theo nguồn. Ở một góc, màu đá khá trầm; xoay sang góc khác, những vùng ánh tím, xanh hoặc vàng bắt đầu hiện ra. Chính sự thay đổi theo góc nhìn làm mẫu này rất khó đánh giá bằng một tấm ảnh. Vẻ đẹp nằm ở chuyển động thị giác và chiều sâu ánh sáng. Phù hợp người thích vật phẩm có hiệu ứng quang học và muốn một món decor thay đổi theo nguồn sáng. Inbox mã SP-010 để xem video xoay đá.

👉 Nhắn tin ngay để nhận giá và video chi tiết của mẫu này.",in stock,new,1500000 VND,https://example.com/san-pham/SP-010,https://raw.githubusercontent.com/annguyennhu2021-ctrl/da-anh-sp/main/SP-010.jpg,Da - Tra - Tu Vi
